address_id,geocoded_address,lon,lat
2336,2211 AVENUE U,-73.949295,40.59962
1004,420 5TH STREET,-73.981514,40.670246
2335,240 EAST 4TH STREET,-73.97703,40.64634
1003,1260 49TH STREET,-73.99302,40.63556
2334,450 MANHATTAN AVENUE,-73.94732,40.719906
1002,1370 53 STREET,-73.99296,40.631878
2333,87 GREENPOINT AVE,-73.956566,40.729984
1001,268 SAINT JAMES PLACE,-73.96357,40.68229
2332,16 APOLLO STREET,-73.93773,40.724827
3663,1215 FLATBUSH AVENUE,-73.95583,40.64071
4994,1611 CEDAR ST,-73.958824,40.617466
3664,176 VANDERBILT AVENUE,-73.96968,40.69232
4995,466 MAYFAIR DRIVE,-73.908264,40.607803
3665,10 BAY 47TH STREET,,
4996,50 BARLOW DRIVE NORTH,-73.905,40.610332
3666,179 AVENUE W,,
4997,239 SUMPTER STREET,-73.91568,40.680492
3667,134 POWERS STREET,-73.94546,40.71224
4998,1189 OCEAN PARKWAY,-73.969345,40.61983
3668,100 MASPETH AVENUE,-73.939674,40.715897
4999,2078 EAST 58TH STREET,-73.917274,40.613945
3669,340 DEAN STREET,-73.980156,40.683502
1009,280 SACKETT STREET,-73.99583,40.68314
3680,1 ROCKWELL PLACE,-73.979485,40.689735
3681,338 2ND STREET,-73.98332,40.673653
3682,70 DEVOE STREET,-73.9487,40.713367
3683,8747 14TH AVENUE,-74.01463,40.609917
3684,61 78TH STREET,-74.035515,40.63092
1022,823 CLASSON AVENUE,-73.960915,40.672543
2353,630 BERGEN STRET,-73.96883,40.679543
1021,1259 LINCOLN PL,-73.93488,40.669956
2352,315-317 16TH STREET,-73.985825,40.663044
1020,230 WASHINGTON AVENUE,-73.96654,40.69159
2351,195 15TH STREET,-73.99001,40.665913
2350,25 PLAZA STREET WEST,-73.97146,40.673767
1019,576 WASHINGTON AVENUE,-73.964554,40.68168
1018,119 VANDERBILT AVENUE,-73.97003,40.694183
2349,593 FOURTH STREET,-73.97573,40.668304
1017,1555 53RD STREET,-73.988846,40.62941
2348,430 AVENUE Y,-73.97011,40.58839
1016,508 MADISON STREET,-73.93765,40.686203
2347,2147 EAST 5TH STREET,-73.96693,40.598125
1015,181 MADISON STREET,-73.95201,40.68456
2346,716 AVENUE V,-73.96347,40.59589
1014,314 CLIFTON PLACE,-73.95213,40.689034
2345,1962 EAST 1ST STREET,-73.97117,40.600456
1013,569 LAFAYETTE AVENUE,-73.95193,40.689816
2344,1496 OCEAN PARKWAY,-73.96848,40.612232
1012,274 HOYT STREET,-73.99105,40.681797
2343,1315 AVENUE P,-73.96026,40.61023
3674,794 ARGYLE ROAD,-73.96421,40.630028
3675,132 ST MARKS PLACE,-73.97878,40.681362
3676,198 ROEBLING STREET,-73.95874,40.712692
3677,1884 WEST 8TH STREET,-73.98041,40.601406
3678,69 BERRY STREET,-73.95739,40.72013
3679,258 HIMROD STREET,-73.91953,40.700417
3690,319 QUINCY STREET,-73.94809,40.68726
3691,468 HART STREET,-73.932205,40.69508
3692,213 MAC DONOUGH STREET,-73.93749,40.681736
3693,381 MAC DONOUGH STREET,-73.93047,40.68254
3694,348 QUINCY STREET,-73.947044,40.68737
3695,533A QUINCY STREET,-73.93802,40.68842
1033,730 HICKS STREET,,
2364,186 SEELEY STREET,-73.97573,40.654804
1032,245 12TH STREET,-73.98926,40.668083
2363,296 BROADWAY,-73.958145,40.708504
1031,415 16TH STREET,-73.9821,40.66124
2362,322 ROEBLING STREET,-73.96094,40.708637
1030,369 11TH STREET,-73.98604,40.66737
2361,289 DEVOE STREET,-73.93784,40.713844
2360,218 31ST STREET,-74.00061,40.656555
1029,345 FIFTH STREET,-73.98317,40.671055
1028,1958 EAST 1ST STREET,-73.97118,40.60054
2359,630 40TH STREET,-74.00155,40.648926
1027,1388 OCEAN PARKWAY,-73.96901,40.614986
2358,664 54TH STREET,-74.00906,40.640694
1026,853 EAST 9TH STREET,-73.96776,40.628067
2357,166 22ND STREET,-73.99664,40.662373
1025,1308 KINGS HIGHWAY,-73.9599,40.608078
2356,2235 EMMONS AVENUE,-73.94514,40.583706
1024,249 7TH STREET,-73.987976,40.671688
2355,127 KING STREET,-74.01149,40.678257
1023,25 EAST 21ST STREET,-73.96067,40.6539
2354,324 ST MARKS AVENUE,-73.96491,40.677776
3685,345 72ND STREET,-74.0257,40.63323
3686,632 76TH STREET,-74.02003,40.626926
3687,248 80TH STREET,-74.03064,40.628155
3688,9315 RIDGE BOULEVARD,-74.03576,40.619137
3689,533 QUINCY STREET,-73.93805,40.688416
1044,5803 5TH AVENUE,-74.01503,40.640568
2375,50 BAYARD STREET,-73.950356,40.718987
1043,2541 OCEAN AVENUE,-73.95145,40.59961
2374,18 MONROE PLACE,-73.99236,40.6967
1042,507 EVERGREEN AVENUE,-73.91607,40.690624
2373,5709 20TH AVE,-73.981255,40.62094
1041,8721-8729 19TH AVENUE,-74.00299,40.603493
2372,2114 83RD STREET,-73.99383,40.604725
1040,112 RUTLAND ROAD,-73.95714,40.658985
2371,832 PUTNAM AVENUE,-73.92842,40.686512
2370,1010 PUTNAM AVENUE,-73.92175,40.68728
1039,526 EAST 19TH STREET,-73.959946,40.637974
1038,381 JEFFERSON AVENUE,-73.94262,40.684143
2369,365 HANCOCK STREET,-73.941696,40.683502
1037,390 UNION AVENUE,-73.951294,40.712074
2368,1313 STERLING PLACE,-73.93452,40.67168
1036,64 NORTH 8TH STREET,-73.96025,40.72032
2367,459 QUINCY STREET,-73.94139,40.68803
1035,139 POWERS STREET,-73.94521,40.712273
2366,1351 56TH STREET,-73.99482,40.63028
1034,233 KEAP STREET,-73.95728,40.70581
2365,70 EAST 3RD STREET,-73.97885,40.65097
3696,6716 20TH AVENUE,-73.9872,40.615242
3697,1934 51 STREET,-73.979004,40.625275
3698,1255 59TH STREET,-73.99894,40.63004
3699,5907 17TH AVENUE,-73.98896,40.623875
1055,172 MONITOR STREET,-73.94253,40.725193
2386,453 MAC DONOUGH STREET,-73.92748,40.682884
1054,145 PROSPECT AVENUE,-73.99371,40.666107
2385,10 REEVE PLACE,-73.97574,40.652863
1053,198 11TH STREET,-73.991,40.669754
2384,7308 21ST AVENUE,-73.98845,40.610596
1052,140 RUTLAND ROAD,-73.95585,40.65907
2383,125 BAY 34TH STREET,-73.99348,40.597603
1051,15 WILSON AVENUE,-73.93019,40.70325
2382,129A TIFFANY PLACE,-74.001114,40.686222
1050,222 52ND STREET,-74.0175,40.64761
2381,95 FIRST PLACE,-73.997375,40.680458
2380,231 STANHOPE STREET,-73.92026,40.70089
1049,128 WILLOW STREET,-73.995766,40.697487
1048,145 MONROE STREET,-73.95286,40.68521
2379,1825 60TH STREET,-73.98663,40.62165
1047,5124 17TH AVENUE,-73.98438,40.62829
2378,1630 78TH STREET,-74.001945,40.614185
1046,665 PARK PLACE,-73.95584,40.674007
2377,104 STERLING STREET,-73.957596,40.662704
1045,330 ST MARKS AVENUE,-73.96472,40.677734
2376,834 HALSEY STREET,-73.921814,40.685024
1066,50 3RD STREET,-73.99468,40.6783
2397,693 HUMBOLDT STREET,-73.945496,40.72587
1065,148 W. 9TH STREET,-73.992134,40.671993
2396,104 MIDWOOD STREET,-73.957436,40.659687
1064,263 1ST ST,-73.98361,40.674652
2395,14 MARTENSE COURT,-73.958015,40.65135
1063,1666 10TH AVENUE,-73.979195,40.657864
2394,1157 73RD ST,-74.009384,40.623386
1062,139 SKILLMAN AVENUE,-73.94584,40.715828
2393,1365 56TH STREET,-73.99461,40.630157
1061,126 29TH STREET,-74.00182,40.659138
2392,716 MARCY AVE,-73.94799,40.689217
1060,513 10TH STREET,-73.98294,40.66672
2391,369A MADISON STREET,-73.94363,40.685524
2390,442 47TH STREET,-74.00984,40.647545
1059,659 CARROLL STREET,-73.97996,40.674618
1058,133 STERLING PLACE,-73.97408,40.677242
2389,389 PARKSIDE AVENUE,-73.957924,40.655773
1057,145 PARK PLACE,-73.97393,40.67799
2388,1214 DECATUR STREET,-73.90714,40.689175
1056,114 FRANKLIN STREET,-73.957375,40.728603
2387,7617 15TH AVENUE,-74.00378,40.616917
1077,5610 9TH AVENUE,-74.005104,40.636337
1076,1422 KINGS HIGHWAY,-73.958916,40.608475
1075,74 WELLINGTON COURT,-73.96115,40.6309
1074,637 MONTGOMERY STREET,-73.94369,40.665012
1073,198 HICKS STREET,-73.9957,40.69559
1072,4711 8TH AVENUE,-74.00205,40.642704
1071,5501-5511 NEW UTRECHT AVENUE,-73.99547,40.63151
1070,90 8TH AVENUE,-73.973236,40.673084
1069,454 PROSPECT AVENUE,-73.98286,40.65949
1068,862 CARROLL STREET,-73.972496,40.6717
2399,14 JACKSON PL,-73.98608,40.662857
1067,1048 84TH STREET,-74.018234,40.61856
2398,1633 EAST 2ND STREET,-73.9721,40.60995
1080,639 MACON STREET,-73.92552,40.68386
9800,2268 WEST 7TH STREET,-73.97782,40.59275
1088,223 SPENCER STREET,-73.954704,40.69224
1087,234 DECATUR STREET,-73.933945,40.68138
1086,17 ARLINGTON PLACE,-73.9512,40.681084
1085,318 MADISON STREET,-73.946045,40.685238
1084,215 SPENCER STREET,-73.95473,40.692352
1083,146 76TH STREET,-74.03218,40.63172
1082,322 HICKS STREET,-73.99762,40.691593
1081,82 SULLIVAN STREET,-74.01197,40.677643
1079,464 11TH STREET,-73.98332,40.666046
1078,697 DEKALB AVENUE,-73.948,40.69177
1091,345 WARREN STREET,-73.99046,40.685116
1090,105A BERGEN STREET,-73.9893,40.686275
9810,696 EGAN STREET,-73.870026,40.657963
9811,698 EGAN STREET,-73.86999,40.657978
1099,581 LEONARD STREET,-73.950294,40.72469
1098,106B NASSAU AVENUE,-73.9495,40.72419
1097,14TH STREET,,
1096,143 12TH STREET,-73.99316,40.669964
1095,1120 MADISON STREET,-73.91599,40.692093
1094,285 TROUTMAN STREET,-73.92554,40.703865
1093,2805 OCEAN PARKWAY,-73.96698,40.581818
1092,1453 47TH STREET,-73.98759,40.63412
9809,697 VANDALIA AVENUE,-73.86922,40.65748
1089,87 NEVINS STREET,-73.98278,40.685898
9803,1615 AVENUE I,-73.960724,40.6277
9804,209 LINCOLN PLACE,-73.97348,40.675304
9801,1984 EAST 16TH STREET,-73.956,40.60167
9802,1854 RYDER STREET,-73.93183,40.613525
9807,115 WALLABOUT STREET,-73.95632,40.699818
9808,185 PROSPECT PARK SW,-73.97288,40.653275
9805,105 NEPTUNE AVENUE,-73.95797,40.582386
9806,420 64TH STREET,-74.02021,40.638233
9821,718 EGAN STREET,,
9822,720 EGAN STREET,,
9820,716 EGAN STREET,,
9814,704 EGAN STREET,,
9815,706 EGAN STREET,,
9812,700 EGAN STREET,,
9813,702 EGAN STREET,,
9818,712 EGAN STREET,,
9819,714 EGAN STREET,,
9816,708 EGAN STREET,,
9817,710 EGAN STREET,,
8501,361 WINTHROP STREET,-73.94851,40.65721
9832,703 VANDALIA AVENUE,,
8502,552 SCHENECTADY AVENUE,-73.9342,40.66002
9833,705 VANDALIA AVENUE,,
9830,699 VANDALIA AVENUE,-73.86918,40.657494
8500,203 EAST 38TH STREET,-73.94199,40.65215
9831,701 VANDALIA AVENUE,,
200,77 PROSPECT PLACE,-73.97493,40.67919
201,751 MYRTLE AVENUE,-73.95315,40.69493
202,1411 39TH STREET,-73.98372,40.63908
203,336 FLATBUSH AVENUE,-73.97185,40.676323
204,1809 EMMONS AVENUE,-73.95027,40.58347
205,1340 60TH STREET,-73.99771,40.628334
206,677 VANDERBILT AVENUE,-73.96924,40.6766
9825,726 EGAN STREET,,
207,5824 8TH AVENUE,-74.008545,40.63648
9826,728 EGAN STREET,,
208,1525 MYRTLE AVENUE,-73.914276,40.699238
9823,722 EGAN STREET,,
209,340 CLIFTON PLACE,-73.95092,40.689175
9824,724 EGAN STREET,,
9829,695 VANDALIA AVENUE,-73.869255,40.657463
9827,730 EGAN STREET,,
9828,732 EGAN STREET,,
9840,719 VANDALIA AVENUE,,
8512,3621 FILLMORE AVENUE,-73.932976,40.611507
9843,725 VANDALIA AVENUE,,
8513,1840 EAST 37TH STREET,-73.93348,40.6128
9844,727 VANDALIA AVENUE,,
8510,227 OCEAN PARKWAY,-73.974014,40.64425
9841,721 VANDALIA AVENUE,,
8511,1870 EAST 31ST STREET,-73.93735,40.609573
9842,723 VANDALIA AVENUE,,
210,651 4TH AVENUE,-73.994934,40.663418
211,99 NORTH 6TH STREET,-73.9602,40.718452
212,67 HANSON PLACE,-73.97493,40.685448
213,536 4TH STREET,-73.976,40.668423
214,120 JAVA STREET,-73.956314,40.731438
215,6701 5 AVENUE,-74.020164,40.635517
216,2064 MCDONALD AVENUE,-73.97249,40.60243
217,51 JAY ST,-73.98663,40.70323
8505,4517 AVENUE M,-73.93175,40.62108
9836,711 VANDALIA AVENUE,,
218,253 EMPIRE BOULEVARD,-73.95362,40.663746
8506,1173 E 49TH STREET,-73.929245,40.631695
9837,713 VANDALIA AVENUE,,
219,2018 EAST 4TH STREET,-73.96839,40.60081
8503,1377 EAST 46TH STREET,-73.931656,40.62714
9834,707 VANDALIA AVENUE,,
8504,1982 TROY AVENUE,-73.93322,40.623695
9835,709 VANDALIA AVENUE,,
8509,3502 12TH AVENUE,-73.984634,40.644367
8507,43 BEVY COURT,-73.927124,40.593338
9838,715 VANDALIA AVENUE,,
8508,177 BAY 49TH STREET,-73.98727,40.586365
9839,717 VANDALIA AVENUE,,
9850,748 EGAN STREET,,
8520,2488 FULTON STREET,-73.902214,40.67756
9851,750 EGAN STREET,,
8523,5106 AVENUE M,-73.92601,40.621426
9854,756 EGAN STREET,,
8524,2024 EAST 60TH STREET,-73.91694,40.61585
9855,758 EGAN STREET,,
8521,1170 OCEAN PARKWAY,-73.9699,40.619728
9852,752 EGAN STREET,,
8522,526 AVENUE Z,-73.97374,40.585827
9853,754 EGAN STREET,,
220,6521 18TH AVENUE,-73.99033,40.618977
221,485 PACIFIC STREET,-73.98179,40.68495
222,107 MONTAGUE STREET,-73.99511,40.695023
223,427 KNICKERBOCKER AVENUE,-73.91954,40.69949
224,50 1 PLACE,-73.99872,40.680824
225,442 HENRY STREET,-73.99849,40.686077
226,1040 PARK PLACE,-73.943085,40.67303
227,15-17 CLAY STREET,-73.957794,40.73635
228,1249 CONEY ISLAND AVE,-73.96558,40.626965
8516,3117 AVENUE P,-73.94206,40.61405
9847,742 EGAN STREET,,
229,97 WYCKOFF AVENUE,-73.92008,40.70485
8517,2311 PACIFIC STREET,-73.90878,40.67542
9848,744 EGAN STREET,,
8514,1917 EAST 35 STREET,-73.9335,40.61055
9845,729 VANDALIA AVENUE,,
8515,2157 RYDER STREET,-73.92633,40.608604
9846,740 EGAN STREET,,
8518,2058 PACIFIC STREET,-73.91772,40.675896
9849,746 EGAN STREET,,
8519,108A SOMERS STREET,-73.90731,40.679195
8530,10 THROOP AVENUE,-73.94891,40.704582
9861,737 VANDALIA AVENUE,,
8531,30 CLINTON STREET,-73.99156,40.696053
9862,739 VANDALIA AVENUE,,
7200,195 GARFIELD PLACE,-73.97768,40.672626
9860,735 VANDALIA AVENUE,,
7202,441 BAINBRIDGE STREET,-73.91904,40.682354
8534,192 EAST 8TH STREET,-73.972,40.645397
9865,745 VANDALIA AVENUE,,
7201,55 EASTERN PARKWAY,-73.96663,40.672874
8535,2146 RYDER STREET,-73.9265,40.608738
9866,747 VANDALIA AVENUE,,
7204,3728 OCEANIC AVENUE,-74.003845,40.575413
8532,570 WESTMINSTER ROAD,-73.96609,40.634964
9863,741 VANDALIA AVENUE,,
7203,570 EAST 87TH STREET,-73.91251,40.642708
8533,59 CANTON COURT,-73.92223,40.58866
9864,743 VANDALIA AVENUE,,
230,535 FIRST STREET,-73.97465,40.670315
231,456 CONEY ISLAND AVENUE,-73.97098,40.646812
232,321 PACIFIC STREET,-73.987915,40.687336
233,51 JAY STREET,-73.98663,40.70323
234,715 LORIMER STREET,-73.95008,40.718357
235,1619 86TH STREET,-74.00677,40.609753
236,92 BERGEN STREET,-73.98992,40.686504
237,222 PACIFIC STREET,-73.99154,40.688736
238,31-35 SPENCER STREET,-73.95586,40.69802
239,825 DEKALB AVENUE,-73.94344,40.69229
8527,3714 LAUREL AVENUE,-74.00395,40.578205
9858,764 EGAN STREET,,
8528,4113 7TH AVENUE,-74.00076,40.64738
9859,766 EGAN STREET,,
8525,451 BERGEN STREET,-73.9758,40.68102
9856,760 EGAN STREET,,
8526,375 LINCOLN PLACE,-73.96344,40.672916
9857,762 EGAN STREET,,
8529,712 6TH AVENUE,-73.99188,40.659386
8541,125 OCEAN AVENUE,-73.96269,40.65983
9872,759 VANDALIA AVENUE,,
8542,720 EAST 48TH STREET,-73.93149,40.643803
9873,761 VANDALIA AVENUE,,
7211,2416 EAST 71ST STREET,-73.90171,40.614677
9870,755 VANDALIA AVENUE,,
7210,1409 EAST 69TH STREET,-73.91216,40.621872
8540,176 SEELEY STREET,-73.97599,40.6547
9871,757 VANDALIA AVENUE,,
7213,1577 56TH STREET,-73.99018,40.62748
8545,156 PULASKI STREET,-73.94522,40.692825
9876,906 ERSKINE STREET,,
7212,1267 50TH STREET,-73.993454,40.63493
8546,135 WILLOW STREET,-73.995804,40.69738
9877,910 ERSKINE STREET,,
7215,39 PAERDEGAT 12 STREET,-73.90375,40.62831
8543,212 EAST 58TH STREET,-73.922485,40.65021
9874,902 ERSKINE STREET,,
7214,1266 E. 86TH STREET,-73.90224,40.632374
8544,55 DAHLGREN PLACE,-74.02393,40.618183
9875,904 ERSKINE STREET,,
240,215 33RD STREET,-74.00182,40.655483
241,184 STERLING PLACE,-73.97241,40.676598
242,360 FURMAN STREET,-73.99951,40.693253
243,70 CRANBERRY STREET,-73.992874,40.699608
244,35 WYCKOFF AVENUE,-73.922325,40.70625
245,3491 FT HAMILTON PARKWAY,-73.98639,40.64533
246,203 SUTTER AVENUE,-73.91344,40.666676
247,68 NORTH 8TH STREET,-73.9602,40.72029
248,56 GARFIELD PLACE,-73.98239,40.674896
249,124 CONGRESS STREET,-73.997444,40.688812
7206,372 DEKALB AVENUE,-73.963234,40.690002
8538,400 LINCOLN PLACE,-73.963974,40.673016
9869,753 VANDALIA AVENUE,,
7205,177 HERKIMER STREET,-73.94763,40.679535
8539,43 SOUTH 10TH STREET,-73.9665,40.708267
7208,70 LORIMER,-73.9517,40.701626
8536,469 CHAUNCEY STREET,-73.91558,40.682003
9867,749 VANDALIA AVENUE,,
7207,174 ATKINS AVENUE,-73.87906,40.674747
8537,264 6 AVENUE,-73.97957,40.67329
9868,751 VANDALIA AVENUE,,
7209,890 HERKIMER STREET,-73.92399,40.678234
7220,105 SCHENECTADY AVENUE,-73.93325,40.675617
8552,221 EAST 18TH STREET,-73.962395,40.645885
9883,1365 EAST 93 STREET,-73.89944,40.63777
8553,13 TAMPA COURT,-73.94614,40.66098
9884,3008 AVENUE J,-73.946724,40.626785
7222,1311 PACIFIC STREET,-73.94884,40.67761
8550,728 ALABAMA AVENUE,-73.893745,40.658386
9881,1580 EAST 12TH STREET,-73.961494,40.6107
7221,1951 PACIFIC STREET,-73.92392,40.676247
8551,657 PENNSYLVANIA AVENUE,-73.89261,40.6612
9882,570 WESTMINSTER ROAD,-73.96609,40.634964
7224,205 BARBEY STREET,-73.88884,40.67794
8556,159 BAY 35TH,-73.9933,40.596657
9887,53 LEGION STREET,-73.917915,40.667244
7223,155 RIDGEWOOD AVENUE,-73.88308,40.683067
8557,79 AVENUE U,-73.9815,40.59607
9888,1615 AVENUE I,-73.960724,40.6277
7226,185 YORK STREET,-73.98323,40.70138
8554,101 LAFAYETTE AVENUE,-73.97409,40.68726
9885,1916 AVENUE K,-73.95688,40.623234
7225,141 NICHOLS AVENUE,-73.86931,40.687313
8555,44 DICTUM COURT,-73.92786,40.592865
9886,9615 SHORE ROAD,,
250,1546 62ND STREET,-73.99429,40.62441
9880,1913 WEST 8TH STREET,-73.980225,40.600506
251,412 TOMPKINS AVENUE,-73.94388,40.683132
252,368-370 79TH STREET,-74.02718,40.62813
253,276 THROOP AVENUE,-73.94331,40.69489
254,196 NEVINS STREET,-73.98475,40.682995
255,25 PIERREPONT STREET,-73.99645,40.696148
256,161 COLUMBIA HEIGHTS,-73.9965,40.69789
257,509-515 SARATOGA AVENUE,-73.917206,40.668335
258,5118 4 AVENUE,-74.013306,40.645782
259,169 LORIMER STREET,-73.949005,40.703384
7217,1234 EAST 87TH STREET,-73.90202,40.633286
8549,632 LOGAN STREET,-73.87511,40.67039
7216,924 EAST 99TH STREET,-73.89854,40.64424
7219,361 CLINTON AVENUE,-73.96762,40.687202
8547,183 GRAFTON STREET,-73.91797,40.66372
9878,70 REMSEN STREET,-73.99573,40.694386
7218,165 CLINTON AVENUE,-73.968765,40.69294
8548,348 SHEPHERD AVENUE,-73.88132,40.67617
9879,8616 GLENWOOD ROAD,-73.9103,40.64
7231,917 ELTON STREET,-73.87713,40.66071
8563,88 CELESTE COURT,-73.92946,40.594875
9894,5525 AVENUE T,-73.92074,40.613815
7230,695 VAN SICLEN AVENUE,-73.887276,40.662647
8564,3 OAKLAND PLACE,-73.95493,40.647785
9895,494 CHAUNCEY STREET,-73.91235,40.68236
7233,1233 FLATBUSH AVENUE,-73.95533,40.640205
8561,3820 FARRAGUT ROAD,-73.94012,40.636753
